Block,Type,Unit,Corner,X,Y
Block_2,Unit,Unit_1,1,2576,4718
Block_2,Unit,Unit_1,2,2563,4778
Block_2,Unit,Unit_1,3,2583,4994
Block_2,Unit,Unit_1,4,2560,5055
Block_2,Unit,Unit_1,5,2531,5055
Block_2,Unit,Unit_1,6,2528,5028
Block_2,Unit,Unit_1,7,2517,5071
Block_2,Unit,Unit_1,8,2431,5066
Block_2,Unit,Unit_1,9,2386,5040
Block_2,Unit,Unit_1,10,2387,4717
Block_2,Unit,Unit_2,1,2372,4718
Block_2,Unit,Unit_2,2,2372,5040
Block_2,Unit,Unit_2,3,2350,5055
Block_2,Unit,Unit_2,4,2342,5029
Block_2,Unit,Unit_2,5,2343,5070
Block_2,Unit,Unit_2,6,2186,5040
Block_2,Unit,Unit_2,7,2186,4782
Block_2,Unit,Unit_2,8,2205,4778
Block_2,Unit,Unit_2,9,2187,4717
Block_2,Unit,Unit_3,1,2172,4718
Block_2,Unit,Unit_3,2,2163,5065
Block_2,Unit,Unit_3,3,2069,5071
Block_2,Unit,Unit_3,4,2067,5028
Block_2,Unit,Unit_3,5,2061,5055
Block_2,Unit,Unit_3,6,2018,5040
Block_2,Unit,Unit_3,7,2009,4868
Block_2,Unit,Unit_3,8,2031,4797
Block_2,Unit,Unit_3,9,2006,4793
Block_2,Unit,Unit_3,10,2007,4717
Block_2,Unit,Unit_4,1,2588,4564
Block_2,Unit,Unit_4,2,2588,4685
Block_2,Unit,Unit_4,3,2007,4703
Block_2,Unit,Unit_4,4,2006,4565
Block_2,Unit,Unit_5,1,3340,4646
Block_2,Unit,Unit_5,2,3385,4742
Block_2,Unit,Unit_5,3,3304,4782
Block_2,Unit,Unit_5,4,3284,4742
Block_2,Unit,Unit_5,5,3295,4779
Block_2,Unit,Unit_5,6,3203,4809
Block_2,Unit,Unit_5,7,3198,4454
Block_2,Unit,Unit_5,8,3339,4453
Block_2,Unit,Unit_6,1,3192,4820
Block_2,Unit,Unit_6,2,3173,4787
Block_2,Unit,Unit_6,3,3187,4830
Block_2,Unit,Unit_6,4,3068,4871
Block_2,Unit,Unit_6,5,3045,4819
Block_2,Unit,Unit_6,6,3045,4454
Block_2,Unit,Unit_6,7,3183,4453
Block_2,Unit,Unit_7,1,3051,4885
Block_2,Unit,Unit_7,2,2890,4912
Block_2,Unit,Unit_7,3,2873,4719
Block_2,Unit,Unit_7,4,2890,4684
Block_2,Unit,Unit_7,5,2927,4678
Block_2,Unit,Unit_7,6,2883,4677
Block_2,Unit,Unit_7,7,2888,4562
Block_2,Unit,Unit_7,8,2927,4550
Block_2,Unit,Unit_7,9,2883,4549
Block_2,Unit,Unit_7,10,2889,4465
Block_2,Unit,Unit_7,11,3030,4453
Block_2,Unit,Unit_8,1,2563,4516
